 ;Produto;Código;Unidade;NCM;"&nbsp;";Categoria;Família;Fabricante;Part Number;CEST;Código de Barras;Classe Tributacao
2101511;AFFATON - BRANCO S10 (FR);002717;UN;32061990;;CORANTE;Utilidades;Coral;;2400300;7898913642201;NÃO TRIBUTADO (CSOSN 400)
2101513;AFFATON - MAGENTA O8 (FR);002719;UN;32041700;;CORANTE;Utilidades;Coral;;2400300;7898913643536;NÃO TRIBUTADO (CSOSN 400)
2101519;AFFATON - MARROM UMBRIA Z12 (FR);002725;UN;32064990;;CORANTE;Utilidades;Coral;;2400300;7898913643468;NÃO TRIBUTADO (CSOSN 400)
2101512;AFFATON - PRETO R9 (FR);002718;UN;32064990;;CORANTE;Utilidades;Coral;;2400300;7898913643604;NÃO TRIBUTADO (CSOSN 400)
2101518;AFFATON - VERDE M6 (FR);002724;UN;32041700;;CORANTE;Utilidades;Coral;;2400300;7898913643987;NÃO TRIBUTADO (CSOSN 400)
2101520;AFFATON - VERMELHO INTENSO V (FR);002726;UN;32041700;;CORANTE;Utilidades;Coral;;2400300;7898913643918;NÃO TRIBUTADO (CSOSN 400)
2101515;AFFATON - VERMELHO OXIDO H4 (FR);002721;UN;32064990;;CORANTE;Utilidades;Coral;;2400300;7898913643376;NÃO TRIBUTADO (CSOSN 400)
2058730;AGUA RAZ ITAQUA 0,9L 11.29.005;002527;QT;27101230;;DILUENTE;;;;;9900000000257;
2053463;ANJO AGUARRAS MINERAL 450 ML;001759;UN;27101230;;DILUENTE;;;;;7898530461186;TRIBUTADO (CSOSN 102)
2053465;ANJO AGUARRAS MINERAL 5 L;001761;UN;27101230;;DILUENTE;;;;;7898025460373;TRIBUTADO (CSOSN 102)
2053464;ANJO AGUARRAS MINERAL 900 ML;001760;UN;27101230;;DILUENTE;;;;;7898025460366;TRIBUTADO (CSOSN 102)
2053294;ANJO DILUENTE P/ SELA MADEIRAS 5 LTS;001590;UN;38140090;;DILUENTE;;;;;7899917155780;TRIBUTADO (CSOSN 102)
2053293;ANJO DILUENTE P/ SELA MADEIRAS 900 ML;001589;UN;38140090;;DILUENTE;;;;;7899917155742;TRIBUTADO (CSOSN 102)
2053296;ANJO DILUENTE P/ VERNIZES AMAZONIA 5 LTS;001592;UN;27101230;;DILUENTE;;;;;7899917155711;TRIBUTADO (CSOSN 102)
2053295;ANJO DILUENTE P/ VERNIZES AMAZONIA 900 ML;001591;UN;27101230;;DILUENTE;;;;;7899917155698;TRIBUTADO (CSOSN 102)
2053390;ANJO MAIS ACR. PRE. BRANCO FOSCA 18 LT;001686;LA;32091010;;ACRILICA;TINTA ACRILICA;Anjo;;;7898530467539;TRIBUTADO (CSOSN 102)
2053391;ANJO MAIS ACR. PRE. BRANCO FOSCA 3,6 LT;001687;GL;32091010;;ACRILICA;TINTA ACRILICA;Anjo;;;7898530467515;TRIBUTADO (CSOSN 102)
2053308;ANJO PINTA DECK NAT. SEMIBRILHO 900 ML;001604;QT;32081020;;DECK;;;;;7899917156107;TRIBUTADO (CSOSN 102)
2053320;ANJO PINTA DECK NATURAL SEMIBRILHO 3,6 LTS;001616;GL;32081020;;DECK;;;;;7899917153410;TRIBUTADO (CSOSN 102)
2053744;ANJO SPRAY METALICA ALUMINIO PARA RODAS 400 ML;002040;UN;32089010;;GERAL;;;;;7899917152192;NÃO TRIBUTADO (CSOSN 400)
2053749;ANJO SPRAY USO GERAL AMARELO 400 ML;002045;UN;32089010;;GERAL;;;;;7899917152215;NÃO TRIBUTADO (CSOSN 400)
2053750;ANJO SPRAY USO GERAL AZUL CLARO 400 ML;002046;UN;32089010;;GERAL;;;;;7899917152239;NÃO TRIBUTADO (CSOSN 400)
2053751;ANJO SPRAY USO GERAL AZUL ESCURO 400 ML;002047;UN;32089010;;GERAL;;;;;7899917152253;NÃO TRIBUTADO (CSOSN 400)
2053752;ANJO SPRAY USO GERAL BRANCO BRTE 400 ML;002048;UN;32089010;;GERAL;;;;;7899917152352;NÃO TRIBUTADO (CSOSN 400)
2053753;ANJO SPRAY USO GERAL BRANCO FSC 400 ML;002049;UN;32089010;;GERAL;;;;;7899917152437;NÃO TRIBUTADO (CSOSN 400)
2053754;ANJO SPRAY USO GERAL CINZA CLARO 400 ML;002050;UN;32089010;;GERAL;;;;;7899917152451;NÃO TRIBUTADO (CSOSN 400)
2053755;ANJO SPRAY USO GERAL CINZA ESCURO 400 ML;002051;UN;32089010;;GERAL;;;;;7899917152475;NÃO TRIBUTADO (CSOSN 400)
2053766;ANJO SPRAY USO GERAL FUNDO BRANCO PRIMER 400 ML;002062;UN;32089010;;GERAL;;;;;7899917152697;NÃO TRIBUTADO (CSOSN 400)
2053756;ANJO SPRAY USO GERAL FUNDO PREP. CINZA 400 ML;002052;UN;32089010;;GERAL;;;;;7899917152277;NÃO TRIBUTADO (CSOSN 400)
2053757;ANJO SPRAY USO GERAL GRAFITE 400 ML;002053;UN;32089010;;GERAL;;;;;7899917152499;NÃO TRIBUTADO (CSOSN 400)
2053758;ANJO SPRAY USO GERAL LARANJA 400 ML;002054;UN;32089010;;GERAL;;;;;7899917152819;NÃO TRIBUTADO (CSOSN 400)
2053759;ANJO SPRAY USO GERAL MARROM 400 ML;002055;UN;32089010;;GERAL;;;;;7899917152512;NÃO TRIBUTADO (CSOSN 400)
2053775;ANJO SPRAY USO GERAL PRETO BRILHANTE 400 ML;002071;UN;32089010;;GERAL;;;;;7899917152291;NÃO TRIBUTADO (CSOSN 400)
2053760;ANJO SPRAY USO GERAL PRETO FSC 400 ML;002056;UN;32089010;;GERAL;;;;;7899917152536;NÃO TRIBUTADO (CSOSN 400)
2053761;ANJO SPRAY USO GERAL PRETO SEMI BRILHO 400 ML;002057;UN;32089010;;GERAL;;;;;7899917152314;NÃO TRIBUTADO (CSOSN 400)
2053762;ANJO SPRAY USO GERAL ROSA 400 ML;002058;UN;32089010;;GERAL;;;;;7899917152338;NÃO TRIBUTADO (CSOSN 400)
2053763;ANJO SPRAY USO GERAL VERDE ESCURO 400 ML;002059;UN;32089010;;GERAL;;;;;7899917152833;NÃO TRIBUTADO (CSOSN 400)
2053764;ANJO SPRAY USO GERAL VERMELHO BR 400 ML;002060;UN;32089010;;GERAL;;;;;7899917152376;NÃO TRIBUTADO (CSOSN 400)
2053767;ANJO SPRAY USO GERAL VERMELHO FSC 400ML;002063;UN;32089010;;GERAL;;;;;7899917152857;NÃO TRIBUTADO (CSOSN 400)
2053765;ANJO SPRAY USO GERAL VERNIZ 400 ML;002061;UN;32089010;;GERAL;;;;;7899917152550;NÃO TRIBUTADO (CSOSN 400)
2053319;ANJO STAIN CASA IMBUIA ACET. 3,6 L;001615;GL;32081020;;STAIN;;;;;7899917153359;TRIBUTADO (CSOSN 102)
2053310;ANJO STAIN CASA IMBUIA ACET. 900 ML;001606;QT;32081020;;STAIN;;;;;7899917156015;TRIBUTADO (CSOSN 102)
2053317;ANJO STAIN CASA INCOLOR ACET. 3,6 L;001613;GL;32081020;;STAIN;;;;;7899917153335;TRIBUTADO (CSOSN 102)
2053312;ANJO STAIN CASA INCOLOR ACET. 900 ML;001608;QT;32081020;;STAIN;;;;;7899917155988;TRIBUTADO (CSOSN 102)
2053318;ANJO STAIN CASA IPE ACET. 3,6L;001614;GL;32081020;;STAIN;;;;;7899917156565;TRIBUTADO (CSOSN 102)
2053313;ANJO STAIN CASA IPE ACET. 900ML;001609;QT;32081020;;STAIN;;;;;7899917156541;TRIBUTADO (CSOSN 102)
2053315;ANJO STAIN CASA MOGNO ACET. 3,6 LTS;001611;GL;32081020;;STAIN;;;;;7899917153373;TRIBUTADO (CSOSN 102)
2053311;ANJO STAIN CASA MOGNO ACET. 900 ML;001607;QT;32081020;;STAIN;;;;;7899917156046;TRIBUTADO (CSOSN 102)
2053322;ANJO STAIN CASA NATURAL ACET. 3,6 L;001618;GL;32081020;;STAIN;;;;;7899917153397;TRIBUTADO (CSOSN 102)
2053314;ANJO STAIN CASA NATURAL ACET. 900 ML;001610;QT;32081020;;STAIN;;;;;7899917156077;TRIBUTADO (CSOSN 102)
2053316;ANJO STAIN CASA NOGUEIRA ACET. 3,6L;001612;GL;32081020;;STAIN;;;;;7899917156510;TRIBUTADO (CSOSN 102)
2053309;ANJO STAIN CASA NOGUEIRA ACET. 900ML;001605;QT;32081020;;STAIN;;;;;7899917156497;TRIBUTADO (CSOSN 102)
2053773;ANJO THINNER PU CARBON BAIXA TEMPERATURA TH5002 900 ML;002069;UN;38140090;;DILUENTE;;;;;7899917125981;TRIBUTADO (CSOSN 102)
2053461;ANJO THINNER PU 5000 5 L;001757;UN;38140090;;DILUENTE;;;;;7898025460298;TRIBUTADO (CSOSN 102)
2053460;ANJO THINNER PU 5000 900 ML;001756;UN;38140090;;DILUENTE;;;;;7898025465392;TRIBUTADO (CSOSN 102)
2053457;ANJO THINNER TH007 5L;001753;UN;38140090;;DILUENTE;;;;;7899917147631;TRIBUTADO (CSOSN 102)
2053456;ANJO THINNER TH007 900ML;001752;UN;38140090;;DILUENTE;;;;;7899917147594;TRIBUTADO (CSOSN 102)
2053523;ANJO THINNER 2750 18 LTS;001819;UN;38140090;;DILUENTE;;;;;7898025460069;TRIBUTADO (CSOSN 102)
2053459;ANJO THINNER 2750 5 L;001755;UN;38140090;;DILUENTE;;;;;7898025460052;TRIBUTADO (CSOSN 102)
2053458;ANJO THINNER 2750 900 ML;001754;UN;38140090;;DILUENTE;;;;;7898025464180;TRIBUTADO (CSOSN 102)
2053462;ANJO THINNER 2900 900 ML;001758;UN;38140090;;DILUENTE;;;;;7898025464203;TRIBUTADO (CSOSN 102)
2053300;ANJO VERNIZ DURA MAIS NAT. ACET. 3,6 LTS;001596;GL;32081020;;VERNIZ;;;;;7899917153434;TRIBUTADO (CSOSN 102)
2053298;ANJO VERNIZ DURA MAIS NAT. ACET. 900 ML;001594;QT;32081020;;VERNIZ;;;;;7899917155896;TRIBUTADO (CSOSN 102)
2053299;ANJO VERNIZ DURA MAIS NAT. BRIL. 3,6 LTS;001595;GL;32081020;;VERNIZ;;;;;7899917153311;TRIBUTADO (CSOSN 102)
2053297;ANJO VERNIZ DURA MAIS NAT. BRIL. 900 ML;001593;QT;32081020;;VERNIZ;;;;;7899917155865;TRIBUTADO (CSOSN 102)
2053305;ANJO VERNIZ MARITIMO PREMIUM NAT. ACET. 3,6 LTS;001601;GL;32081020;;VERNIZ;;;;;7899917153458;TRIBUTADO (CSOSN 102)
2053302;ANJO VERNIZ MARITIMO PREMIUM NAT. ACET. 900 ML;001598;QT;32081020;;VERNIZ;;;;;7899917155926;TRIBUTADO (CSOSN 102)
2053307;ANJO VERNIZ MARITIMO PREMIUM NAT. BRIL. 3,6 L;001603;GL;32081020;;VERNIZ;;;;;7899917155667;TRIBUTADO (CSOSN 102)
2053303;ANJO VERNIZ MARITIMO PREMIUM NAT. BRIL. 900 ML;001599;QT;32081020;;VERNIZ;;;;;7899917155643;TRIBUTADO (CSOSN 102)
2053306;ANJO VERNIZ MARITIMO PREMIUM NAT. FOSCO 3,6 LTS;001602;GL;32081020;;VERNIZ;;;;;7899917153472;TRIBUTADO (CSOSN 102)
2053301;ANJO VERNIZ MARITIMO PREMIUM NAT. FOSCO 900 ML;001597;QT;32081020;;VERNIZ;;;;;7899917155957;TRIBUTADO (CSOSN 102)
2052536;APLICADOR DE SILICONE / PU;000832;UN;82079000;;GERAL;;;;;7895315000202;NÃO TRIBUTADO (CSOSN 400)
2052739;APLICADOR DE SILICONE BRASF REFORC 7309;001035;UN;82055900;;GERAL;;;;;7898464735629;TRIBUTADO (CSOSN 102)
2052740;APLICADOR DE SILICONE BRASF TUBULAR 7310;001036;UN;82055900;;GERAL;;;;;7898464735636;TRIBUTADO (CSOSN 102)
2053238;ATLAS ABRACADEIRA PLAST PR 280X3,6MM PCT 100UN;001534;UN;39269090;;GERAL;;;;;7896380108497;TRIBUTADO (CSOSN 102)
2051865;ATLAS ABRE TRINCA 375;000161;UN;82055900;;GERAL;;;;;7896380101481;NÃO TRIBUTADO (CSOSN 400)
2051879;ATLAS ANTIGOTA KIT 6 PECAS AT1017;000175;UN;96034090;;GERAL;;;;;7896380154401;NÃO TRIBUTADO (CSOSN 400)
2051828;ATLAS APLICADOR DE SILICONE 177;000124;UN;82055900;;GERAL;;;;;7896380101443;NÃO TRIBUTADO (CSOSN 400)
2051889;ATLAS APLICADOR 4,5CM REF 152/1;000185;UN;39269090;;GERAL;;;;;SEM GTIN;NÃO TRIBUTADO (CSOSN 400)
2053572;ATLAS BALDE MULTIUSO PLAST PRETO 608P;001868;UN;39249000;;GERAL;;;;;7896380192526;TRIBUTADO (CSOSN 102)
2053160;ATLAS BANDEJA P/ GARFO DUPLO PROFISSIONAL 4,3L REF: AT1492P;001456;UN;39269090;;GERAL;;;;;7896380109593;NÃO TRIBUTADO (CSOSN 400)
2053574;ATLAS BANDEJA P/ PINTURA PT 3,6 L 1534P;001870;UN;39269090;;GERAL;;;;;7896380192694;NÃO TRIBUTADO (CSOSN 400)
2053159;ATLAS BANDEJA P/ PINTURA PVC 1,3L 1415;001455;UN;39269090;;GERAL;;;;;7896380194889;NÃO TRIBUTADO (CSOSN 400)
2053058;ATLAS BANDEJA P/ PINTURA PVC 2,7L 1523P;001354;UN;39269090;;GERAL;;;;;7896380192625;NÃO TRIBUTADO (CSOSN 400)
2053568;ATLAS BANQUETA ESCADA 47,4X45X49,7CM PLAST CZ PR1041-1;001864;UN;94018000;;GERAL;;;;;7896003811407;TRIBUTADO (CSOSN 102)
2051859;ATLAS BROXA RETANGULAR 15X5.6CM 800/1;000155;UN;96034010;;GERAL;;;;;7896380131068;NÃO TRIBUTADO (CSOSN 400)
2051860;ATLAS BROXA RETANGULAR 18X8CM 800/2;000156;UN;96034010;;GERAL;;;;;7896380131075;NÃO TRIBUTADO (CSOSN 400)
2053538;ATLAS CACAMBA DE PLA P/ MAO 2L REF:1420P;001834;UN;39269090;;GERAL;;;;;7896003894677;NÃO TRIBUTADO (CSOSN 400)
2053158;ATLAS CACAMBA P/ PINTURA PRETA PVC 10L 610P;001454;UN;39269090;;GERAL;;;;;7896380192557;NÃO TRIBUTADO (CSOSN 400)
2053335;ATLAS CACAMBA P/ PINTURA 12L REF: AT612P;001631;UN;39269090;;GERAL;;;;;7896380103249;NÃO TRIBUTADO (CSOSN 400)
2053573;ATLAS CAIXA DE MASSA PLASTICA 18 L AT611;001869;UN;39269090;;GERAL;;;;;7896380100729;NÃO TRIBUTADO (CSOSN 400)
2051863;ATLAS COLHER DE PEDREIRO 8;000159;UN;82055900;;GERAL;;;;;SEM GTIN;NÃO TRIBUTADO (CSOSN 400)
2053044;ATLAS CONJ DE PINTURA ANTIGOTA 5PCS REF: 4321;001340;UN;96034010;;GERAL;;;;;7896380190621;TRIBUTADO (CSOSN 102)
2053050;ATLAS CONJ DE PINTURA ANTIRESPINGO 3PCS 2003;001346;UN;96034010;;GERAL;;;;;7896380154128;TRIBUTADO (CSOSN 102)
2053635;ATLAS CONJ DE PINTURA COMPLETO 7 PCS 1016;001931;UN;96034010;;GERAL;;;;;7896380153343;TRIBUTADO (CSOSN 102)
2053337;ATLAS CONJ DE PINTURA 3PCS REF: AT 2001;001633;UN;96034010;;GERAL;;;;;7896003894387;TRIBUTADO (CSOSN 102)
2053336;ATLAS CONJ DE PINTURA 5PCS REF: AT1002;001632;UN;96034010;;GERAL;;;;;7896380154074;TRIBUTADO (CSOSN 102)
2051825;ATLAS DESEM. ACO LISA 143;000121;UN;82055900;;GERAL;;;;;7896380191567;NÃO TRIBUTADO (CSOSN 400)
2053033;ATLAS DESEM. ACO T LISA C/ ABERTO 12X25CM REF133;001329;UN;82055900;;GERAL;;;;;7896380191192;NÃO TRIBUTADO (CSOSN 400)
2051826;ATLAS DESEM. GR DE ACO P/MASSA AT248;000122;UN;82055900;;GERAL;;;;;7896380101924;NÃO TRIBUTADO (CSOSN 400)
2053052;ATLAS DESEMP. ACO INOX P/ EFEITOS DECORA. CHANFRADA 25CM AT113;001348;UN;82055900;;GERAL;;;;;7896380173556;TRIBUTADO (CSOSN 102)
2053054;ATLAS DESEMP. ACO T LISA C ABERTO 12X25CM AT148/1;001350;UN;82055900;;GERAL;;;;;7896003894639;TRIBUTADO (CSOSN 102)
2053032;ATLAS DESEMP. ACO T LISA C FECHADO 12X25CM AT148/2;001328;UN;82055900;;GERAL;;;;;7896003894646;TRIBUTADO (CSOSN 102)
2052966;ATLAS DESEMP INOX C.RED 12X35CM CABO FECH. AT836/1;001262;UN;82055900;;GERAL;;;;;7896003894899;NÃO TRIBUTADO (CSOSN 400)
2052965;ATLAS DESEMP INOX C.RET. 12X30 CABO FECH RIG AT826/1;001261;UN;82055900;;GERAL;;;;;7896003894882;NÃO TRIBUTADO (CSOSN 400)
2053051;ATLAS DESEMP INOX TRAPEZIO CHANF P/ EFEITOS AT110;001347;UN;82055900;;GERAL;;;;;7896003897487;NÃO TRIBUTADO (CSOSN 400)
2052874;ATLAS DESEMP METAL TRAPEZIO CHANF P/ EFEITOS  AT111;001170;UN;82055900;;GERAL;;;;;7896003894769;TRIBUTADO (CSOSN 102)
2051824;ATLAS DESEMP. P/ GRAFIATO 27X14CM 165;000120;UN;39269090;;GERAL;;;;;7896380191642;NÃO TRIBUTADO (CSOSN 400)
2052968;ATLAS DESEMP. P/ TEXT DE PLAST 30X17CM 166;001264;UN;39269090;;GERAL;;;;;7896380191123;NÃO TRIBUTADO (CSOSN 400)
2051885;ATLAS DESEMPE. ACO EFEITO DECORA. 254MM AT112;000181;UN;96039000;;GERAL;;;;;7896003894776;NÃO TRIBUTADO (CSOSN 400)
2051880;ATLAS DESEMPENADEIRA C/ESPUMA PLASTICA;000176;UN;39269090;;GERAL;;;;;SEM GTIN;NÃO TRIBUTADO (CSOSN 400)
2052967;ATLAS DESEMPENADEIRA P/ TEXT DE PLAST 16X8CM 164;001263;UN;39269090;;GERAL;;;;;7896380191635;NÃO TRIBUTADO (CSOSN 400)
2051904;ATLAS DISCO ABRASIVO FLAP 115MM G120 AT25/120;000200;UN;68053090;;GERAL;;;;;7896003896411;TRIBUTADO (CSOSN 102)
2053168;ATLAS DISCO ABRASIVO FLAP 115MM G120 OX ALUMIN AT24/120;001464;UN;68053090;;GERAL;;;;;7896003896374;TRIBUTADO (CSOSN 102)
2051907;ATLAS DISCO ABRASIVO FLAP 115MM G40 AT25/40;000203;UN;68053090;;GERAL;;;;;7896003896381;TRIBUTADO (CSOSN 102)
2053165;ATLAS DISCO ABRASIVO FLAP 115MM G40 OX ALUMIN AT24/40;001461;UN;68053090;;GERAL;;;;;7896003896343;TRIBUTADO (CSOSN 102)
2051906;ATLAS DISCO ABRASIVO FLAP 115MM G60 AT25/60;000202;UN;68053090;;GERAL;;;;;7896003896398;TRIBUTADO (CSOSN 102)
2053166;ATLAS DISCO ABRASIVO FLAP 115MM G60 OX ALUMIN AT24/60;001462;UN;68053090;;GERAL;;;;;7896003896350;TRIBUTADO (CSOSN 102)
2051905;ATLAS DISCO ABRASIVO FLAP 115MM G80 AT25/80;000201;UN;68053090;;GERAL;;;;;7896003896404;TRIBUTADO (CSOSN 102)
2053167;ATLAS DISCO ABRASIVO FLAP 115MM G80 OX ALUMIN AT24/80;001463;UN;68053090;;GERAL;;;;;7896003896367;TRIBUTADO (CSOSN 102)
2053338;ATLAS DISCO LIXA ABRASIVO 180 GRAO 150 AT19/150;001634;UN;68052000;;GERAL;;;;;7896380109838;TRIBUTADO (CSOSN 102)
2053339;ATLAS DISCO LIXA ABRASIVO 180 GRAO 180 AT19/180;001635;UN;68052000;;GERAL;;;;;7896380109845;TRIBUTADO (CSOSN 102)
2053340;ATLAS DISCO LIXA ABRASIVO 180 GRAO 220 AT19/220;001636;UN;68052000;;GERAL;;;;;7896380109852;TRIBUTADO (CSOSN 102)
2053341;ATLAS DISCO LIXA ABRASIVO 180 GRAO 80 AT19/80;001637;UN;68052000;;GERAL;;;;;7896380109760;TRIBUTADO (CSOSN 102)
2053161;ATLAS ESCOVA DE ACO ECONOMICA 3 FILEIRAS REF: AT1820/3;001457;UN;96039000;;GERAL;;;;;7896380107308;TRIBUTADO (CSOSN 102)
2053030;ATLAS ESPATULA ACO CROMADO 10CM 6255/16;001326;UN;82055900;;GERAL;;;;;7896380173167;TRIBUTADO (CSOSN 102)
2053031;ATLAS ESPATULA ACO CROMADO 12,5CM 6255/20;001327;UN;82055900;;GERAL;;;;;7896380173174;TRIBUTADO (CSOSN 102)
2053156;ATLAS ESPATULA ACO CROMADO 15 CM AT6255/21;001452;UN;82055900;;GERAL;;;;;7896003896336;TRIBUTADO (CSOSN 102)
2053353;ATLAS ESPATULA ACO CROMADO 3,5CM REF: 6255/6;001649;UN;82055900;;GERAL;;;;;7896380173136;TRIBUTADO (CSOSN 102)
2053028;ATLAS ESPATULA ACO CROMADO 6CM 6255/10;001324;UN;82055900;;GERAL;;;;;7896380173143;TRIBUTADO (CSOSN 102)
2053029;ATLAS ESPATULA ACO CROMADO 7,5CM 6255/12;001325;UN;82055900;;GERAL;;;;;7896380173150;TRIBUTADO (CSOSN 102)
2053157;ATLAS ESPATULA ACO INOX 20CM CABO MADEIRA AT6155/22;001453;UN;82055900;;GERAL;;;;;7896380173471;TRIBUTADO (CSOSN 102)
2053347;ATLAS ESPATULA ANGULAR DE ACO INOX 3 REF: AT 6165/3;001643;UN;82055900;;GERAL;;;;;7896380100880;TRIBUTADO (CSOSN 102)
2052956;ATLAS ESPATULA CABO MADEIRA ACO INOX 10CM 6155/16;001252;UN;82055900;;GERAL;;;;;7896380173112;TRIBUTADO (CSOSN 102)
2052957;ATLAS ESPATULA CABO MADEIRA ACO INOX 12,5CM 6155/20;001253;UN;82055900;;GERAL;;;;;7896380173464;TRIBUTADO (CSOSN 102)
2053618;ATLAS ESPATULA CABO MADEIRA ACO INOX 6 CM 6155/10;001914;UN;82055900;;GERAL;;;;;7896380173099;TRIBUTADO (CSOSN 102)
2052955;ATLAS ESPATULA CABO MADEIRA ACO INOX 7,5CM 6155/12;001251;UN;82055900;;GERAL;;;;;7896380173105;TRIBUTADO (CSOSN 102)
2051987;ATLAS ESPATULA DE ACO CABO PVC 10CM 175/10;000283;UN;82055900;;GERAL;;;;;7896380191628;NÃO TRIBUTADO (CSOSN 400)
2051988;ATLAS ESPATULA DE ACO CABO PVC 12CM 175/12;000284;UN;82055900;;GERAL;;;;;7896380190799;NÃO TRIBUTADO (CSOSN 400)
2051984;ATLAS ESPATULA DE ACO CABO PVC 4 CM 175/4;000280;UN;82055900;;GERAL;;;;;7896380190782;NÃO TRIBUTADO (CSOSN 400)
2051985;ATLAS ESPATULA DE ACO CABO PVC 6CM 175/6;000281;UN;82055900;;GERAL;;;;;7896380191604;NÃO TRIBUTADO (CSOSN 400)
2051986;ATLAS ESPATULA DE ACO CABO PVC 8CM 175/8;000282;UN;82055900;;GERAL;;;;;7896380191611;NÃO TRIBUTADO (CSOSN 400)
2053343;ATLAS ESPATULA DE ACO REFORCADO 100CM AT6555/10;001639;UN;82055900;;GERAL;;;;;7896380108725;TRIBUTADO (CSOSN 102)
2053344;ATLAS ESPATULA DE ACO REFORCADO 12CM AT6555/12;001640;UN;82055900;;GERAL;;;;;7896380109685;TRIBUTADO (CSOSN 102)
2053346;ATLAS ESPATULA DE ACO REFORCADO 60CM AT6555/6;001642;UN;82055900;;GERAL;;;;;7896380108701;TRIBUTADO (CSOSN 102)
2053345;ATLAS ESPATULA DE ACO REFORCADO 80CM 6555/8;001641;UN;82055900;;GERAL;;;;;7896380108718;TRIBUTADO (CSOSN 102)
2051882;ATLAS ESPATULA DRYWALL 8 INOX;000178;UN;82055900;;GERAL;;;;;SEM GTIN;NÃO TRIBUTADO (CSOSN 400)
2051908;ATLAS ESPATULA INOX ARREDONDADA 165 MM AT6655/6;000204;UN;82055900;;GERAL;;;;;7896380197101;TRIBUTADO (CSOSN 102)
2053232;ATLAS ESPATULA INOX P/ DRYWALL C/ BIT '6' AT1417;001528;UN;82055900;;GERAL;;;;;7896380109777;TRIBUTADO (CSOSN 102)
2053233;ATLAS ESPATULA INOX 5 P/ DRYWALL C/ BIT '12'  AT1414;001529;UN;82055900;;GERAL;;;;;7896380109753;TRIBUTADO (CSOSN 102)
2052969;ATLAS ESPATULA MULTIUSO METALICA AT195/1;001265;UN;82055900;;GERAL;;;;;7896380150380;TRIBUTADO (CSOSN 102)
2052007;ATLAS ESPATULA PLASTICA AT152/1;000303;UN;39269090;;GERAL;;;;;7896380190850;NÃO TRIBUTADO (CSOSN 400)
2053174;ATLAS ESPATULA PLASTICA LISA 10CM 150/10;001470;UN;39269090;;GERAL;;;;;7896380193721;NÃO TRIBUTADO (CSOSN 400)
2053173;ATLAS ESPATULA PLASTICA LISA 8CM 150/8;001469;UN;39269090;;GERAL;;;;;7896380193714;NÃO TRIBUTADO (CSOSN 400)
2052008;ATLAS ESPATULA PLASTICA 13,1X8,8 REF:152/2;000304;UN;39269090;;GERAL;;;;;7896380191819;NÃO TRIBUTADO (CSOSN 400)
2052009;ATLAS ESPATULA PLASTICA 20X8,8 AT152/3;000305;UN;39269090;;GERAL;;;;;7896380190867;NÃO TRIBUTADO (CSOSN 400)
2053229;ATLAS ESPATULA PVC DENTADA 10CM 151/10;001525;UN;39269090;;GERAL;;;;;7896380193769;NÃO TRIBUTADO (CSOSN 400)
2053228;ATLAS ESPATULA PVC DENTADA 8CM 151/8;001524;UN;39269090;;GERAL;;;;;7896380193752;NÃO TRIBUTADO (CSOSN 400)
